brand,model,range_km,efficiency_wh_per_km,acceleration_0_100_s,fast_charging_power_kw_dc,seats,cargo_volume_l
Volkswagen,ID.4 Pure,285,143,9.0,87.0,5,543
Volkswagen,ID.5 GTX,430,144,5.5,120.0,5,549
Volkswagen,ID.5 Pro,460,138,6.7,120.0,5,549
Volkswagen,ID.5 Pure,320,142,8.9,87.0,5,549
Volkswagen,ID.7 GTX,500,145,5.4,145.0,5,532
Volkswagen,ID.7 Pro,475,132,6.5,125.0,5,532
Volkswagen,ID.7 Pro S,525,133,6.6,145.0,5,532
Volkswagen,ID.7 Tourer GTX,500,147,5.5,145.0,5,605
Volkswagen,ID.7 Tourer Pro,470,146,6.6,125.0,5,605
Volkswagen,ID.7 Tourer Pro S,520,125,6.7,145.0,5,605
Volvo,EC40 Single Motor (MY26),360,151,7.3,110.0,5,404
Volvo,EC40 Single Motor ER (MY26),420,146,7.3,125.0,5,404
Volvo,EC40 Twin Motor (MY26),400,155,4.8,125.0,5,404
Volvo,EC40 Twin Motor Performance (MY26),400,155,4.6,125.0,5,404
Volvo,ES90 Single Motor (MY26),485,135,6.9,190.0,5,446
Volvo,ES90 Twin Motor (MY26),530,146,5.5,225.0,5,446
Volvo,ES90 Twin Motor Performance (MY26),530,146,4.0,225.0,5,446
Volvo,EX30 Cross Country (MY26),330,152,3.7,114.0,5,318
Volvo,EX30 Single Motor (MY24-26),275,147,5.7,80.0,5,318
Volvo,EX30 Single Motor ER (MY24-26),365,138,5.3,113.0,5,318
Volvo,EX30 Twin Motor Performance (MY24-26),340,145,3.6,113.0,5,318
Volvo,EX40 Single Motor (MY26),345,154,7.3,110.0,5,410
Volvo,EX40 Single Motor ER (MY26),400,152,7.3,125.0,5,410
Volvo,EX40 Twin Motor (MY26),385,163,4.8,125.0,5,410
Volvo,EX40 Twin Motor Performance (MY26),385,163,4.6,125.0,5,410
Volvo,EX90 Single Motor (MY24-26),460,182,8.4,140.0,7,310
Volvo,EX90 Twin Motor (MY24-26),470,188,5.9,150.0,7,310
Volvo,EX90 Twin Motor Performance (MY24-26),455,188,4.9,150.0,7,310
Voyah,Free 106 kWh,480,200,4.4,80.0,5,550
XPENG,G6 AWD Performance,475,159,4.1,180.0,5,571
XPENG,G6 RWD Long Range,480,154,6.7,180.0,5,571
XPENG,G6 RWD Standard Range,370,152,6.9,140.0,5,571
XPENG,G9 AWD Performance,465,179,3.9,224.0,5,660
XPENG,G9 RWD Long Range,480,163,6.4,224.0,5,660
XPENG,G9 RWD Standard Range,395,165,6.4,170.0,5,660
XPENG,P7 AWD Performance,460,164,4.1,138.0,5,440
XPENG,P7 RWD Long Range,495,144,6.7,138.0,5,440
XPENG,P7 Wing Edition,455,164,4.1,138.0,5,440
Zeekr,001 Long Range RWD,505,152,7.2,135.0,5,539
Zeekr,001 Performance AWD,480,159,3.8,135.0,5,539
Zeekr,001 Privilege AWD,480,162,3.8,135.0,5,539
Zeekr,7X Long Range RWD,475,153,6.0,260.0,5,539
Zeekr,7X Performance AWD,450,173,3.8,260.0,5,539
Zeekr,7X Premium RWD,365,148,6.0,240.0,5,539
Zeekr,X Core RWD (MY25),265,148,5.9,70.0,5,362
Zeekr,X Long Range RWD (MY25),360,146,5.6,114.0,5,362
Zeekr,X Privilege AWD (MY25),350,153,3.8,114.0,5,362
firefly,,250,125,8.1,65.0,5,404
